eta,lmbd,epochs,batch_size,n_hidden_layers,activation_func,optimiser,training_loss,validation_loss
1e-05,1e-05,300,64,[50],"['relu', 'linear']",SGDwithoutMomentum,0.2552030397352679,0.2737588052833663
1e-05,1e-05,300,64,[50],"['relu', 'linear']",SGD,0.09111640595467589,0.1021474571826891
1e-05,1e-05,300,64,[50],"['relu', 'linear']",adam,30.04878478158136,32.683966379110274
1e-05,1e-05,300,64,[50],"['relu', 'linear']",adagrad,34.91640160188387,36.13158188640773
1e-05,1e-05,300,64,[50],"['relu', 'linear']",RMSprop,32.17234963075851,37.40950313481274
0.1,0.1,300,128,[10],"['relu', 'linear']",SGDwithoutMomentum,,
0.1,0.1,300,128,[10],"['relu', 'linear']",SGD,0.08339611333018167,0.07543924526720217
0.1,0.1,300,128,[10],"['relu', 'linear']",adam,0.012447497252571518,0.009067061966545229
0.1,0.1,300,128,[10],"['relu', 'linear']",adagrad,0.011685425220031073,0.0100937847587552
0.1,0.1,300,128,[10],"['relu', 'linear']",RMSprop,0.023033195042566335,0.02097269278080638
0.1,0.1,300,128,[30],"['relu', 'linear']",SGDwithoutMomentum,,
0.1,0.1,300,128,[30],"['relu', 'linear']",SGD,0.0845429438902826,0.07809185713506214
